epoch,train_loss,val_loss,lr,seconds,val_roc_auc,val_f1,val_accuracy
1,1.4089269903179187,0.8674149922261839,0.001,4.461607708000001,0.9381389654116927,0.2080536912751678,0.7693059628543499
2,0.8609142088175769,0.753002120136399,0.001,0.168060541,0.9381389654116927,0.273972602739726,0.844574780058651
3,0.8223000819793468,0.7030612838000263,0.001,0.1635419580000006,0.9361493725130089,0.273972602739726,0.844574780058651
4,0.7748510091404183,0.6654988035545089,0.001,0.1638225000000002,0.9365779002142639,0.29,0.8611925708699902
5,0.7308781032114691,0.6463423801307454,0.001,0.16534087500000005,0.9365472910927456,0.2857142857142857,0.8582600195503421
6,0.6628841708447233,0.6387220209761216,0.001,0.1636507500000004,0.9367921640648914,0.27751196172248804,0.852394916911046
7,0.6961405357674135,0.62991420847463,0.001,0.1641522499999999,0.9383226201408019,0.2777777777777778,0.8475073313782991
8,0.6099611621419514,0.6248198003596458,0.001,0.16391954200000036,0.9392102846648301,0.2777777777777778,0.8475073313782991
9,0.6402776383476989,0.6208731417898325,0.001,0.16385320799999992,0.9403122130394858,0.2843601895734597,0.852394916911046
10,0.612349739276761,0.6228091206951458,0.001,0.16387808300000017,0.9388429752066116,0.2777777777777778,0.8475073313782991
11,0.630520266755282,0.6317600809758709,0.001,0.16400679100000026,0.9381389654116927,0.2857142857142857,0.8582600195503421
12,0.6259455906253377,0.6299756362174846,0.001,0.16371566599999987,0.9385062748699113,0.2777777777777778,0.8475073313782991
13,0.6051793233755872,0.6394598079974584,0.001,0.16446608299999887,0.9369758187940007,0.26785714285714285,0.8396871945259042
14,0.6242106585801834,0.6451328335619392,0.001,0.16501950000000143,0.9364248546066729,0.26200873362445415,0.8347996089931574
15,0.6334761403252838,0.6294314893925761,0.0005,0.16301945800000084,0.9391490664217937,0.26666666666666666,0.8387096774193549
16,0.6256867438623447,0.6404267482510526,0.0005,0.1650259589999994,0.9373737373737373,0.28169014084507044,0.8504398826979472
17,0.6021460678038946,0.6394923082894244,0.0005,0.16357070900000004,0.9372819100091827,0.2803738317757009,0.8494623655913979
18,0.5928846911866535,0.6552568489388869,0.0005,0.1629572079999999,0.9354147535965718,0.28169014084507044,0.8504398826979472
19,0.6254661739022382,0.6607123583059973,0.0005,0.1630365420000004,0.9335475971839607,0.273972602739726,0.844574780058651
