model,split,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,mcc,cohen_kappa,log_loss,brier_score
logistic_regression,val,0.39932543688142896,0.8240469208211144,0.14832535885167464,0.9393939393939394,0.256198347107438,0.9385062748699113,0.3878845387676389,0.8797979797979798,0.3328678628980221,0.21230942970073396,0.3270564085541032,0.10016106868104224
logistic_regression,test,0.39932543688142896,0.8132942326490714,0.1308411214953271,0.8484848484848485,0.22672064777327935,0.9240893786348332,0.2831191272899656,0.8303030303030303,0.28696965359550547,0.18093788905796093,0.36678301486403575,0.10791403171012913
decision_tree,val,0.8300089847259638,0.9198435972629521,0.23655913978494625,0.6666666666666666,0.3492063492063492,0.8011172329354147,0.24700994767408427,0.7974747474747474,0.365655170486763,0.31666666666666665,0.582855800629215,0.07468202558181787
decision_tree,test,0.8300089847259638,0.9090909090909091,0.20588235294117646,0.6363636363636364,0.3111111111111111,0.8109121518212428,0.22627893061985277,0.7772727272727273,0.3270256489217506,0.2758100979653353,0.5807209943711545,0.0831549123201247
random_forest,val,0.04126875758011726,0.8514173998044966,0.16759776536312848,0.9090909090909091,0.2830188679245283,0.9248086929905113,0.407464152285949,0.8792929292929292,0.35276181695744774,0.24171226263276469,0.11670268373366684,0.023940810993064127
random_forest,test,0.04126875758011726,0.8318670576735093,0.14358974358974358,0.8484848484848485,0.24561403508771928,0.9378022650749923,0.40538538031303056,0.8398989898989899,0.30578907329650784,0.2015573525007488,0.08778965752653493,0.02420611987462057
extra_trees,val,0.19038833143173758,0.9325513196480938,0.3,0.8181818181818182,0.43902439024390244,0.9359044995408632,0.4571791901321037,0.8772727272727273,0.4706498210127064,0.4112303881090008,0.09225899450770786,0.025026430263101068
extra_trees,test,0.19038833143173758,0.9178885630498533,0.24752475247524752,0.7575757575757576,0.373134328358209,0.9395163758800122,0.4379569290099973,0.8404040404040404,0.4032488353588726,0.3410931174089068,0.09841851594502635,0.02798490433199615
xgboost,val,0.002682063262909651,0.852394916911046,0.16477272727272727,0.8787878787878788,0.27751196172248804,0.9312519130700949,0.4584019734216755,0.8651515151515152,0.3418846725629513,0.23600456993634722,0.10717458867285168,0.02373809310584825
xgboost,test,0.002682063262909651,0.8357771260997068,0.14659685863874344,0.8484848484848485,0.25,0.9349250076522804,0.39695360161802157,0.841919191919192,0.31006282140107777,0.20633953063090527,0.11544939446546637,0.0284570767172205
svm,val,0.02774236573973507,0.8240469208211144,0.14492753623188406,0.9090909090909091,0.25,0.8988062442607897,0.2409131218173652,0.8651515151515151,0.3211792042973657,0.20580700256191287,0.10121451272725439,0.02717313528318165
svm,test,0.02774236573973507,0.8269794721407625,0.14705882352941177,0.9090909090909091,0.25316455696202533,0.9100091827364554,0.2696628426936489,0.8666666666666667,0.3242790998024684,0.2092520536100302,0.10117901696157756,0.02677642581310897
knn,val,0.0559085666739849,0.8592375366568915,0.16363636363636364,0.8181818181818182,0.2727272727272727,0.8661157024793388,0.38009837715640543,0.8393939393939394,0.32607914956672285,0.23140495867768607,0.2728511428537729,0.024647735829155915
knn,test,0.0559085666739849,0.8660801564027371,0.16666666666666666,0.7878787878787878,0.2751322751322751,0.8533976124885214,0.30477367845836145,0.8282828282828283,0.32268656304136434,0.2343609158103479,0.3089767770112295,0.02643469754767666
naive_bayes,val,2.150711062983006e-05,0.8641251221896383,0.17682926829268292,0.8787878787878788,0.29441624365482233,0.9345423936333027,0.3900223945500706,0.8712121212121212,0.3575264739715955,0.25436926803945326,1.2455911747702317,0.07689900691901595
naive_bayes,test,2.150711062983006e-05,0.8582600195503421,0.15853658536585366,0.7878787878787878,0.2639593908629442,0.9152433425160698,0.23520796117740636,0.8242424242424242,0.3122884303262099,0.22218376881813473,1.6051378351866838,0.08365373391815634
mlp,val,0.06584420484604037,0.8778103616813294,0.176056338028169,0.7575757575757576,0.2857142857142857,0.8919804101622284,0.29571574422284036,0.8196969696969697,0.3267465090288974,0.24625559229721838,0.10121852657297382,0.026112396249434257
mlp,test,0.06584420484604037,0.8758553274682307,0.1780821917808219,0.7878787878787878,0.2905027932960894,0.9045607591062137,0.29244991231787976,0.8333333333333333,0.3367495961833807,0.251093779722275,0.1011069635412291,0.027060019588891763
