epoch,train_loss,val_loss,lr,seconds
1,5.456035216649373,6.037377193876026,0.0009972609476841367,1.2501154159999999
2,5.040023538801405,5.984663953529425,0.0009890738003669028,0.8775810419999992
3,4.769390980402629,5.841000074515245,0.0009755282581475768,0.8782205000000012
4,4.713548898696899,5.8876492284959365,0.0009567727288213003,0.874737875000001
5,4.671921412150065,5.885654735658409,0.0009330127018922195,0.8784051250000005
6,4.657752116521199,5.895824804800114,0.0009045084971874739,0.8761107500000023
7,4.636903206507365,5.889288140648388,0.0008715724127386972,0.8773405000000025
8,4.630159298578898,5.916610707518875,0.0008345653031794292,0.8774442500000035
9,4.623586124844021,5.938161139614071,0.0007938926261462366,0.8788248339999996
10,4.619782659742567,5.970197838888606,0.00075,0.8782122919999935
11,4.608420027626885,5.9470156555884275,0.0007033683215379003,0.8752240420000064
12,4.609704044130114,5.989189157737665,0.0006545084971874739,0.8773140409999982
13,4.602039284176296,5.978539517664607,0.0006039558454088797,0.8773650000000046
14,4.602975686391194,5.967271813665784,0.0005522642316338269,0.8772449159999951
15,4.598137166765001,5.9886041796918255,0.0005000000000000002,0.876632291
16,4.595528973473443,6.010039820815578,0.0004477357683661734,0.8783397080000057
17,4.594092819425795,5.989323079993881,0.00039604415459112036,0.8796814580000003
18,4.589952998691135,6.015355038852635,0.0003454915028125264,0.8800400410000009
